714,993,1259,1062
701,273,1281,306
600,330,778,344
715,803,1259,815
144,1315,621,1485
726,1162,1258,1176
145,1509,622,1673
143,329,299,343
726,917,1259,930
726,1125,1259,1138
886,691,1259,702
727,1397,1260,1409
588,369,779,458
135,164,645,185
907,330,1258,344
714,1200,1258,1214
886,634,1259,646
907,369,1258,458
143,556,423,702
144,727,620,1290
142,367,368,457
462,235,959,249
142,272,641,306
715,859,1260,892
726,1087,1259,1100
726,1279,1259,1291
679,499,1282,533
660,165,1308,185
715,1587,1260,1598
154,500,642,533
145,1716,941,1750
715,1661,1261,1674
710,1861,732,1880
693,1454,1260,1484
714,956,1259,968
