707,864,1222,881
152,859,515,960
713,1013,1222,1140
153,1454,574,1550
153,1230,488,1327
152,716,465,737
153,1083,508,1104
137,94,1259,142
153,1380,469,1407
716,901,1222,918
144,336,1269,700
153,1344,452,1364
154,1677,476,1704
153,1008,492,1067
138,175,1291,293
717,716,1222,732
109,1777,1238,1823
152,785,388,806
974,785,1222,806
707,1161,1222,1178
711,1272,1222,1327
717,1459,1222,1476
714,1384,1222,1402
153,1120,493,1183
983,1343,1221,1364
152,822,490,843
717,1343,899,1360
717,938,1222,955
707,1235,1222,1253
717,822,1222,843
714,1681,1222,1698
714,1496,1222,1550
154,1566,1222,1629
717,785,898,801
