581,978,969,991
1057,363,1247,443
139,1457,529,1538
1052,761,1249,840
336,249,1055,263
138,563,526,642
580,1092,908,1105
126,331,524,344
675,1866,695,1883
140,1557,529,1636
1050,463,1247,541
108,978,528,990
1058,331,1246,343
579,662,967,742
145,364,524,443
233,188,1143,207
571,1160,969,1238
339,1042,1058,1057
1054,1357,1252,1436
275,298,352,311
576,299,904,311
1060,662,1249,741
1054,1456,1252,1536
1055,1773,1252,1785
140,1657,529,1752
140,1358,529,1437
581,1773,970,1786
572,1258,970,1338
109,1772,528,1786
1122,1091,1209,1104
1063,1657,1252,1748
573,1358,970,1437
148,1159,528,1239
1053,1158,1251,1237
577,332,966,344
1053,1256,1251,1336
138,863,527,957
1147,298,1175,311
138,464,525,542
137,763,527,842
128,1126,527,1138
1059,561,1248,641
580,1126,969,1138
137,663,526,742
572,1558,971,1638
1052,861,1250,957
1061,1125,1250,1136
1054,1557,1252,1636
577,364,966,443
578,563,967,642
140,1258,528,1337
579,762,968,841
572,1658,971,1753
299,1093,336,1104
572,1457,970,1537
120,1806,409,1818
577,463,967,543
1053,977,1249,990
580,862,968,957
