498,108,907,125
499,1379,914,1464
499,944,915,1031
982,944,1304,1031
961,1271,1303,1357
498,1487,914,1591
982,1053,1304,1140
88,399,1304,469
88,635,689,652
110,944,431,1031
98,1379,431,1465
499,1162,915,1248
499,1270,915,1356
89,144,1304,199
101,1053,432,1140
982,908,1304,921
488,1613,914,1736
99,1270,431,1357
86,1757,676,1789
711,1757,1204,1790
89,290,569,307
949,1613,1302,1735
499,1053,915,1139
87,489,1301,508
88,363,1301,381
89,217,472,234
306,853,1139,884
704,634,1106,652
971,1379,1303,1464
444,672,957,706
498,908,916,920
119,798,546,816
585,72,808,85
89,908,431,921
99,1487,431,1592
961,1162,1304,1248
88,327,515,343
972,1487,1303,1591
100,1162,431,1248
88,580,1304,613
600,1836,655,1856
86,1614,431,1736
572,254,818,267
88,525,1303,562
432,726,969,759
