104,211,485,227
736,1521,1236,1634
617,665,840,682
478,611,560,625
713,755,1030,770
208,1444,659,1746
221,846,464,934
103,429,1128,447
351,102,1067,137
490,811,936,935
737,1467,1238,1493
747,1659,1237,1746
208,954,658,1258
736,1172,1238,1258
103,320,697,354
102,701,1128,718
971,810,1238,935
103,156,1313,192
758,521,980,571
220,1299,1238,1424
380,756,702,772
712,320,1312,338
606,248,851,261
478,287,613,301
715,1026,1237,1146
103,284,465,301
103,374,1313,410
714,973,1237,1005
622,1794,676,1814
458,466,969,502
597,65,820,78
446,521,702,570
133,610,465,627
