105,1445,601,1529
89,251,1273,460
721,1548,1240,1635
721,1442,1240,1528
101,694,597,777
719,1230,1238,1316
102,483,596,565
113,1106,599,1212
717,904,1236,1005
102,589,596,671
700,1777,1241,1791
105,1551,601,1635
696,586,1234,671
144,180,1235,201
75,1778,603,1793
707,797,1236,882
105,1339,600,1423
85,1815,475,1828
707,693,1235,776
70,1025,597,1041
696,1026,1236,1040
102,905,598,1005
721,1653,1240,1757
105,1233,600,1317
706,482,1234,565
662,1864,682,1883
101,800,597,882
676,1101,1238,1211
105,1657,601,1758
720,1336,1239,1422
