999,1399,1284,1486
999,1188,1273,1271
999,1293,1284,1377
704,1860,724,1879
606,1737,900,1749
614,1189,899,1273
998,649,1282,732
615,1296,900,1379
146,1613,517,1715
147,1296,516,1379
987,437,1260,519
147,437,515,520
133,203,1321,416
613,756,888,839
157,1061,516,1167
145,648,516,732
603,437,866,520
147,1190,516,1273
146,1507,505,1591
614,1508,890,1591
999,1612,1284,1712
997,754,1282,838
999,1505,1284,1589
146,542,515,626
236,142,1202,165
987,542,1282,626
613,862,898,958
989,1735,1284,1748
145,860,515,962
615,1059,899,1166
614,650,888,733
113,983,1281,997
999,1057,1273,1165
146,1402,506,1484
613,543,887,626
615,1614,900,1711
997,861,1282,961
145,754,515,839
115,1737,517,1749
615,1402,900,1485
